Distributor_Date,Distributor,TBL_IB_Serial_or_Order,Family,Model,Cylinders,Lean_or_Rich_Burn,Power_BHP,Branch,Branch_Address,Branch_City,Branch_State,Branch_Country,Owner,Owner_Address,Owner_City,Owner_State,Owner_Country,Owner_Post_Code,Site_Name,Site_Address,Site_City,Site_State,Site_Country,Site_Post_Code,Site_Longitude,Site_Latitude,Region,Engine_Market,Driven_Equipment,Driven_Equipment_Model,Engine_Application,Fuel_Type,LC_Model,Notes,Customer_Tag,Status,Duty,EQUIPMENT_STATUS,RPM,LOAD,Hours_per_Year,Engine_Location_Area,Contact_name,Contact_Email,Phone_Number,Distributor_Maintenance_Agreement?  Yes/No,Engine_Hrs_of_Last_Top_Overhaul,Date_Performed,Engine_Hrs_of_Last_Bottom_Overhaul,Date_Performed_Last,Current_Engine_Hours,Date_Verified,Engine_Modified_Yes_No,If_Yes_please_explain_modification,Other_Distributor_Info,Startup_Year,Special_Notes,INSTALLED_AT,MACHINE_DESCRIPTION,MANUFACTURER,OPERATING_PERCENTAJE,COMMENTS_if_any_OWNER,SpecNo,Service_File _No,CP,Cool_Sys,Date_of_Op_Hrs,Engine_Quantity,Sector,Air_Fuel_Ratio,Catalyst,Compressor,Engine_Facility_Name,Generator_Set,HP,Ignition_Type,Last_Maintenance_Date,Overhaul_Date,Packager,Permit_Number,Permit_Year,Turbocharger_Model,Driven_Equipment1,Fuel_Type1,Line ,JFE_Site_No,Area,TBL_IB_Region1,Startup,Ship_Date,Year,GGO_Region,OraclePartyNumber,Field0,Expr1,Expr2,Expr3,Expr4,Field1
,Gas Drive,168700,VHP,L7042G,,,1025,,,,,,Imperial Oil Resources Limited,,,,,,,04-17-47-27-W4M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,168700
,Gas Drive,169598,VHP,L7042GSI,,,1480,,,,,,BP Canada Energy Company,,,,,,,4700 - 47th Street SE,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,169598
,Gas Drive,170352,VHP,L7042G,,,1025,,,,,,Chevron Canada Resources Limited,,,,,,,500 - 5th Avenue SW,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,170352
,Gas Drive,170353,VHP,L7042G,,,1025,,,,,,Penn West Petroleum,,,,,,,16-30-72-04-W5M,Manning,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,170353
,Gas Drive,170363,VHP,L7042G,,,1025,,,,,,Chevron Canada Resources Limited,,,,,,,500 - 5th Avenue SW,London,Ontario,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,170363
,Gas Drive,170699,VHP,L7042GSI,,,1480,,,,,,Bonavista Energy Corporation,,,,,,,"700, 311 - 6th Avenue SW",Bonnyville,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,170699
,Gas Drive,170700,VHP,L7042GSI,,,1480,,,,,,Bonavista Energy Corporation,,,,,,,"700, 311 - 6th Avenue SW",Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,170700
,Gas Drive,173311,VHP,L7042G,,,1025,,,,,,TAQA North Limited,,,,,,,07-32-77-11-W6M,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,173311
,Gas Drive,173754,VHP,L7042G,,,1025,,,,,,Penn West Petroleum,,,,,,,PO Box 1450,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,173754
,Gas Drive,173756,VHP,L7042GSI,,,1480,,,,,,ConocoPhillips Canada Limited,,,,,,,08-11-31-21-W4M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,173756
